date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2021-12-17,47653.730469,48004.894531,45618.214844,46202.144531,32902725329,-2836.394401792728,-84.07312221677148,-2752.3212795759564,35.31579827407673,51010.703710999995,58860.20795448223,43161.199467517756,2938.2334165127445,46202.144531
2021-12-18,46219.253906,47313.828125,45598.441406,46848.777344,26098292690,-2784.774194907419,-25.962332265169607,-2758.8118626422493,37.42625454770222,50490.71972665,57988.425803388105,42993.013649911896,2850.887223833263,46848.777344
2021-12-19,46853.867188,48089.664063,46502.953125,46707.015625,25154053861,-2723.9043215709826,27.926032857013524,-2751.830354427996,37.14016115049728,49935.7421876,56801.78595066858,43069.69842453142,2760.5889177023155,46707.015625
2021-12-20,46707.0625,47401.71875,45579.808594,46880.277344,30961902129,-2631.3511575088633,96.38335753530646,-2727.7345150441697,37.76632108307761,49429.48476575,55592.9625589766,43266.0069725234,2693.5404347235785,46880.277344
2021-12-21,46886.078125,49300.917969,46698.773438,48936.613281,27055803928,-2364.8128925996934,290.3372979555811,-2655.1501905552745,44.79489735972893,49014.824023550005,54032.811422773615,43996.836624326395,2687.01215588618,48936.613281
2021-12-22,48937.097656,49544.796875,48450.941406,48628.511719,24447979559,-2153.6150843819705,401.2280849386434,-2554.843169320614,43.99319727109709,48622.3587892,52290.42068580171,44954.296892598286,2573.215249680025,48628.511719
2021-12-23,48626.34375,51332.339844,48065.835938,50784.539063,28223878108,-1791.613308799635,610.5838884167833,-2402.1971972164183,50.64932342585283,48481.67343765,51540.859999140885,45422.48687615912,2622.735867988595,50784.539063
2021-12-24,50806.050781,51814.027344,50514.496094,50822.195313,24367912228,-1484.5725209923912,734.0997409792217,-2218.672261971613,50.75939410333133,48562.74804705,51775.92993427475,45349.566159825255,2528.2212524179813,50822.195313
2021-12-25,50854.917969,51176.597656,50236.707031,50429.859375,19030650914,-1258.3927475822493,768.2236115114911,-2026.6163590937404,49.52012404052751,48615.798633,51914.36529262545,45317.231973374546,2414.769064745268,50429.859375
2021-12-26,50428.691406,51196.378906,49623.105469,50809.515625,20964372926,-1036.55974565028,792.0452907547683,-1828.6050364050484,50.77261174137617,48627.143164249996,51954.12751513716,45300.15881336283,2354.6622341920342,50809.515625
